"Marca temporal","¿Consume pan?","Número de integrantes de la familia","¿Qué tan importante es la ingesta de pan diariamente? 1 al 5, siendo 5 la más importante","Con que frecuencia consume pan","Cuando compra pan, ¿Qué prefiere usted?","Al momento de comprar pan, ¿Donde lo realiza?","¿Qué variable considera al momento de comprar pan envasado?","¿Porque razón compra pan envasado principalmente?","Respecto al tamaño del envase,¿Cuál prefiere?","¿Qué marca de pan envasado prefiere?","¿Con qué frecuencia consume pan envasado?"
"2018/11/23 1:46:04 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:46:21 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:46:46 p. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:47:01 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Supermercados","Cantidad","Sabor","580 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/23 1:47:18 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Precio","Sabor","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:49:26 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/23 2:28:22 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Panderias","Precio","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:33:06 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:33:24 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:33:40 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:33:56 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/24 6:34:12 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:34:34 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:34:49 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:35:06 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:35:23 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:35:40 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:37:24 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:37:41 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:38:03 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:38:23 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:38:41 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:39:03 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:39:19 p. m. GMT-3","Si","Más de 3 integrantes","4","ocasionalmente","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/24 6:39:40 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:39:55 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/24 6:40:10 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/24 6:40:28 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:40:48 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:41:06 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:41:32 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/24 6:41:48 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:42:04 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:42:23 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:42:40 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:42:56 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:43:19 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/24 6:43:40 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:43:58 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:44:13 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:44:28 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/24 6:44:43 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:45:03 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:45:26 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/24 6:45:42 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:45:57 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:46:11 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:46:25 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Cantidad","Sabor","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:46:40 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:46:55 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:47:09 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:47:24 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:48:39 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/24 6:48:54 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:49:07 p. m. GMT-3","Si","Más de 3 integrantes","5","3 o más veces por semana","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/24 6:49:22 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Fuch","ocasionalmente"
"2018/11/24 6:49:37 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","300 gramos","Ideal","ocasionalmente"
"2018/11/24 6:49:49 p. m. GMT-3","Si","Más de 3 integrantes","1","3 o más veces por semana","envasado","Panderias","Valor nutricional","Ocasiones especiales","700 gramos","Castaño","todos los días"
"2018/11/24 6:50:05 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","2 integrantes","1","ocasionalmente","pan preparado","Panderias","Cantidad","Sabor","580 gramos","Castaño","ocasionalmente"
"2018/11/24 6:50:30 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Durabilidad","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:50:48 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:51:04 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:51:18 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:51:35 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","indiferente","otro","Precio","Ocasiones especiales","250 gramos","Ideal","todos los días"
"2018/11/24 6:51:51 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:52:06 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:52:21 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","3 veces por semana"
"2018/11/24 6:52:48 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:53:04 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:53:22 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:53:58 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:54:12 p. m. GMT-3","Si","3 integrantes","5","3 o más veces por semana","granel","otro","Marca","Sabor","580 gramos","Fuch","3 veces por semana"
"2018/11/24 6:54:25 p. m. GMT-3","Si","2 integrantes","1","todos los días","envasado","Supermercados","Precio","Sabor","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:54:41 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:55:04 p. m. GMT-3","Si","Más de 3 integrantes","4","ocasionalmente","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:55:20 p. m. GMT-3","Si","Más de 3 integrantes","5","ocasionalmente","granel","Almacenes de barrio","Precio","Durabilidad","250 gramos","Ideal","3 veces por semana"
"2018/11/24 6:55:33 p. m. GMT-3","Si","Más de 3 integrantes","5","ocasionalmente","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:55:46 p. m. GMT-3","Si","Más de 3 integrantes","4","ocasionalmente","indiferente","otro","Precio","Durabilidad","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:56:00 p. m. GMT-3","Si","Más de 3 integrantes","5","ocasionalmente","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:56:13 p. m. GMT-3","Si","Más de 3 integrantes","5","ocasionalmente","envasado","Supermercados","Todas las anteriores","Durabilidad","300 gramos","Cena","todos los días"
"2018/11/24 6:56:24 p. m. GMT-3","Si","2 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Valor nutricional","Durabilidad","300 gramos","Fuch","ocasionalmente"
"2018/11/24 6:56:36 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","2 integrantes","5","3 o más veces por semana","pan preparado","Panderias","Precio","Sabor","700 gramos","Fuch","3 veces por semana"
"2018/11/24 6:56:49 p. m. GMT-3","Si","vivo solo","3","todos los días","envasado","Almacenes de barrio","Cantidad","Sabor","300 gramos","Cena","ocasionalmente"
"2018/11/24 6:57:05 p. m. GMT-3","Si","vivo solo","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/24 6:57:19 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Cena","ocasionalmente"
"2018/11/24 6:57:37 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/24 6:57:51 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","300 gramos","Castaño","ocasionalmente"
"2018/11/24 6:58:06 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Precio","Sabor","700 gramos","Marcas tradicionales de supermercados","3 veces por semana"
